video_id,video_path,label,class_id,num_frames,num_landmarks,num_coordinates
MVI_5260,data\processed\landmarks_preprocessed\MVI_5260.npy,2. quiet,1,69,50,3
MVI_9453,data\processed\landmarks_preprocessed\MVI_9453.npy,2. quiet,1,60,50,3
MVI_9296,data\processed\landmarks_preprocessed\MVI_9296.npy,3. happy,2,50,50,3
MVI_9542,data\processed\landmarks_preprocessed\MVI_9542.npy,3. happy,2,58,50,3
MVI_5258,data\processed\landmarks_preprocessed\MVI_5258.npy,1. loud,0,76,50,3
MVI_9587,data\processed\landmarks_preprocessed\MVI_9587.npy,8. Blind,7,59,50,3
MVI_9586,data\processed\landmarks_preprocessed\MVI_9586.npy,8. Blind,7,52,50,3
MVI_5262,data\processed\landmarks_preprocessed\MVI_5262.npy,2. quiet,1,66,50,3
MVI_9567,data\processed\landmarks_preprocessed\MVI_9567.npy,4. sad,3,59,50,3
MVI_9540,data\processed\landmarks_preprocessed\MVI_9540.npy,3. happy,2,50,50,3
MVI_5257,data\processed\landmarks_preprocessed\MVI_5257.npy,1. loud,0,52,50,3
MVI_9568,data\processed\landmarks_preprocessed\MVI_9568.npy,4. sad,3,69,50,3
MVI_9847,data\processed\landmarks_preprocessed\MVI_9847.npy,6. Ugly,5,52,50,3
MVI_9576,data\processed\landmarks_preprocessed\MVI_9576.npy,6. Ugly,5,59,50,3
MVI_9371,data\processed\landmarks_preprocessed\MVI_9371.npy,2. quiet,1,48,50,3
MVI_9582,data\processed\landmarks_preprocessed\MVI_9582.npy,7. Deaf,6,58,50,3
MVI_5265,data\processed\landmarks_preprocessed\MVI_5265.npy,3. happy,2,48,50,3
MVI_9297,data\processed\landmarks_preprocessed\MVI_9297.npy,3. happy,2,48,50,3
MVI_9291,data\processed\landmarks_preprocessed\MVI_9291.npy,1. loud,0,63,50,3
MVI_9455,data\processed\landmarks_preprocessed\MVI_9455.npy,3. happy,2,51,50,3
MVI_9720,data\processed\landmarks_preprocessed\MVI_9720.npy,4. sad,3,62,50,3
MVI_5342,data\processed\landmarks_preprocessed\MVI_5342.npy,3. happy,2,53,50,3
MVI_9572,data\processed\landmarks_preprocessed\MVI_9572.npy,5. Beautiful,4,55,50,3
MVI_9293,data\processed\landmarks_preprocessed\MVI_9293.npy,2. quiet,1,53,50,3
MVI_9571,data\processed\landmarks_preprocessed\MVI_9571.npy,5. Beautiful,4,64,50,3
MVI_5178,data\processed\landmarks_preprocessed\MVI_5178.npy,1. loud,0,64,50,3
MVI_9577,data\processed\landmarks_preprocessed\MVI_9577.npy,6. Ugly,5,69,50,3
MVI_5177,data\processed\landmarks_preprocessed\MVI_5177.npy,1. loud,0,56,50,3
MVI_9295,data\processed\landmarks_preprocessed\MVI_9295.npy,3. happy,2,48,50,3
MVI_9845,data\processed\landmarks_preprocessed\MVI_9845.npy,6. Ugly,5,60,50,3
MVI_9585,data\processed\landmarks_preprocessed\MVI_9585.npy,8. Blind,7,60,50,3
MVI_9289,data\processed\landmarks_preprocessed\MVI_9289.npy,1. loud,0,55,50,3
MVI_9369,data\processed\landmarks_preprocessed\MVI_9369.npy,1. loud,0,48,50,3
MVI_9372,data\processed\landmarks_preprocessed\MVI_9372.npy,2. quiet,1,47,50,3
MVI_5336,data\processed\landmarks_preprocessed\MVI_5336.npy,1. loud,0,42,50,3
MVI_5341,data\processed\landmarks_preprocessed\MVI_5341.npy,3. happy,2,41,50,3
MVI_9855,data\processed\landmarks_preprocessed\MVI_9855.npy,8. Blind,7,54,50,3
MVI_5180,data\processed\landmarks_preprocessed\MVI_5180.npy,2. quiet,1,68,50,3
MVI_9454,data\processed\landmarks_preprocessed\MVI_9454.npy,3. happy,2,44,50,3
MVI_9578,data\processed\landmarks_preprocessed\MVI_9578.npy,6. Ugly,5,77,50,3
MVI_5338,data\processed\landmarks_preprocessed\MVI_5338.npy,2. quiet,1,45,50,3
MVI_5181,data\processed\landmarks_preprocessed\MVI_5181.npy,2. quiet,1,74,50,3
MVI_9569,data\processed\landmarks_preprocessed\MVI_9569.npy,5. Beautiful,4,65,50,3
MVI_5343,data\processed\landmarks_preprocessed\MVI_5343.npy,3. happy,2,73,50,3
MVI_9580,data\processed\landmarks_preprocessed\MVI_9580.npy,7. Deaf,6,61,50,3
MVI_9450,data\processed\landmarks_preprocessed\MVI_9450.npy,1. loud,0,50,50,3
